Data Set No,Metallic Materials,Atomic/Molecular Weight(u),Density(g/cc),Temperature (K) at which test was performed,Melting Point(K),Strain rate,Heat capacity(KJ/kg.k),BCC,FCC,HCP,a,b,c,alpha,beta,gamma,Grain size(um),Yield point(stress),Elastic modulus
49,Titanium,47.867,4.5,673,1941,0.01,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,99.785,4989.25
50,Titanium,47.867,4.5,723,1941,0.01,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,90.91,4545.5
51,Titanium,47.867,4.5,773,1941,0.01,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,84.41,4220.5
52,Titanium,47.867,4.5,823,1941,0.01,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,82.678,4133.9
53,Titanium,47.867,4.5,873,1941,0.01,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,69.681,3484.049
54,Titanium,47.867,4.5,923,1941,0.01,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,56.903,2845.15
55,Titanium,47.867,4.5,973,1941,0.01,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,102.807,5140.35
56,Titanium,47.867,4.5,673,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,93.887,4694.35
57,Titanium,47.867,4.5,723,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,90.99,4549.5
58,Titanium,47.867,4.5,773,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,84.367,4218.35
59,Titanium,47.867,4.5,823,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,79.87,3993.5
60,Titanium,47.867,4.5,873,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,75.381,3769.049
61,Titanium,47.867,4.5,923,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,69.034,3451.7
62,Titanium,47.867,4.5,973,1941,0.1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,61.889,3094.45
63,Titanium,47.867,4.5,673,1941,1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,114.037,5701.85
64,Titanium,47.867,4.5,723,1941,1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,103.935,5196.75
65,Titanium,47.867,4.5,773,1941,1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,98.884,4944.2
66,Titanium,47.867,4.5,823,1941,1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,90.643,4532.15
67,Titanium,47.867,4.5,873,1941,1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,84.529,4226.45
68,Titanium,47.867,4.5,923,1941,1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,78.415,3920.75
69,Titanium,47.867,4.5,973,1941,1,0.523,0,0,1,2.95,2.95,4.685,90,90,120,40,71.237,3561.849
70,Aluminum,26.981,2.694,308,933.5,0.001,0.93,0,1,0,4.049,4.049,4.049,90,90,90,1500,129.501,2122.967
71,Aluminum,26.981,2.692,323,933.5,0.001,0.93,0,1,0,4.049,4.049,4.049,90,90,90,1500,141.115,2351.916
