Data Set No,Metallic Materials,Atomic/Molecular Weight(u),Density(g/cc),Temperature (K) at which test was performed,Melting Point(K),Strain rate,Heat capacity(KJ/kg.k),BCC,FCC,HCP,a,b,c,alpha,beta,gamma,Grain size(um),Yield point(stress),Elastic modulus
206,Titanium,47.867,4.5,623,1941,0.0025,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,146.48,5859.199
207,Titanium,47.867,4.5,673,1941,0.0025,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,123.467,4938.679
208,Titanium,47.867,4.5,723,1941,0.0025,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,90.656,3626.24
209,Titanium,47.867,4.5,773,1941,0.0025,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,88.351,3534.04
210,Titanium,47.867,4.5,623,1941,0.00083,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,178.902,7156.079
211,Titanium,47.867,4.5,673,1941,0.00083,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,131.335,5253.4
212,Titanium,47.867,4.5,723,1941,0.00083,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,101.753,4070.12
213,Titanium,47.867,4.5,773,1941,0.00083,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,87.107,3484.279
214,Copper,63.546,8.96,843,1358,0.001,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,23.148,771.6
215,Copper,63.546,8.96,843,1358,0.01,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,25.213,840.433
216,Copper,63.546,8.96,843,1358,0.1,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,26.72,890.666
217,Copper,63.546,8.96,843,1358,1,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,30.764,1025.466
218,Copper,63.546,8.96,843,1358,10,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,35.839,1194.633
219,Copper,63.546,8.96,873,1358,0.001,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,29.363,978.766
220,Copper,63.546,8.96,873,1358,0.01,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,31.517,1050.566
221,Copper,63.546,8.96,873,1358,0.1,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,34.011,1133.7
222,Copper,63.546,8.96,873,1358,1,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,39.453,1315.1
223,Copper,63.546,8.96,873,1358,10,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,42.06,1402
224,Copper,63.546,8.96,903,1358,0.001,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,25.636,854.533
225,Copper,63.546,8.96,903,1358,0.01,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,28.315,943.833
226,Copper,63.546,8.96,903,1358,0.1,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,29.063,968.766
227,Copper,63.546,8.96,903,1358,1,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,37.319,1243.966
228,Copper,63.546,8.96,903,1358,10,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,46.969,1565.633
229,Copper,63.546,8.96,933,1358,0.001,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,20.032,667.733
230,Copper,63.546,8.96,933,1358,0.01,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,21.358,711.933
231,Copper,63.546,8.96,933,1358,0.1,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,31.692,1056.4
232,Copper,63.546,8.96,933,1358,1,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,44.282,1476.066
233,Copper,63.546,8.96,933,1358,10,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,35.404,1180.133
234,Copper,63.546,8.96,993,1358,0.001,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,18.09,603
235,Copper,63.546,8.96,993,1358,0.01,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,22.491,749.7
236,Copper,63.546,8.96,993,1358,0.1,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,25.361,845.366
237,Copper,63.546,8.96,993,1358,1,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,30.527,1017.566
238,Copper,63.546,8.96,993,1358,10,0.389,0,1,0,3.614,3.614,3.614,90,90,90,65.2,39.523,1317.433
239,Titanium,47.867,4.5,623,1941,0.005,0.523,0,0,1,2.95,2.95,4.685,90,90,120,34.2,183.665,7346.599
240,Titanium,47.867,4.5,623,1941,0.005,0.523,0,0,1,2.95,2.95,4.685,90,90,120,450,,
241,Titanium,47.867,4.5,623,1941,0.005,0.523,0,0,1,2.95,2.95,4.685,90,90,120,150,,
242,Titanium,47.867,4.5,723,1941,0.005,0.523,0,0,1,2.95,2.95,4.685,90,90,120,50,,
243,Titanium,47.867,4.5,723,1941,0.005,0.523,0,0,1,2.95,2.95,4.685,90,90,120,450,,
244,Titanium,47.867,4.5,773,1941,0.005,0.523,0,0,1,2.95,2.95,4.685,90,90,120,50,,
245,Titanium,47.867,4.5,773,1941,0.005,0.523,0,0,1,2.95,2.95,4.685,90,90,120,450,,
246,Titanium,47.867,4.5,623,1941,0.05,0.523,0,0,1,2.95,2.95,4.685,90,90,120,50,,
247,Titanium,47.867,4.5,623,1941,0.05,0.523,0,0,1,2.95,2.95,4.685,90,90,120,450,,
248,Titanium,47.867,4.5,723,1941,0.05,0.523,0,0,1,2.95,2.95,4.685,90,90,120,50,,
249,Titanium,47.867,4.5,723,1941,0.05,0.523,0,0,1,2.95,2.95,4.685,90,90,120,450,,
250,Titanium,47.867,4.5,723,1941,0.05,0.523,0,0,1,2.95,2.95,4.685,90,90,120,150,,
251,Titanium,47.867,4.5,773,1941,0.05,0.523,0,0,1,2.95,2.95,4.685,90,90,120,50,,
252,Titanium,47.867,4.5,773,1941,0.05,0.523,0,0,1,2.95,2.95,4.685,90,90,120,450,,
253,Titanium,47.867,4.5,623,1941,0.5,0.523,0,0,1,2.95,2.95,4.685,90,90,120,50,,
254,Titanium,47.867,4.5,623,1941,0.5,0.523,0,0,1,2.95,2.95,4.685,90,90,120,50,,
255,Titanium,47.867,4.5,623,1941,0.5,0.523,0,0,1,2.95,2.95,4.685,90,90,120,150,,
255,Titanium,47.867,4.5,723,1941,0.5,0.523,0,0,1,2.95,2.95,4.685,90,90,120,450,,
256,Titanium,47.867,4.5,723,1941,0.5,0.523,0,0,1,2.95,2.95,4.685,90,90,120,50,,
257,Titanium,47.867,4.5,723,1941,0.5,0.523,0,0,1,2.95,2.95,4.685,90,90,120,150,,
258,Titanium,47.867,4.5,773,1941,0.5,0.523,0,0,1,2.95,2.95,4.685,90,90,120,450,,
259,Titanium,47.867,4.5,773,1941,0.5,0.523,0,0,1,2.95,2.95,4.685,90,90,120,50,,
